# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
80              	7.09918892e+00	3.55611286e+00	3.54307606e+00	2.57840079e+00	-5.30807927e-01	3.10920871e+00	-1.82000832e+00	6.51840313e-03	-1.33602062e-02	-2.20949718e-02	-2.44076922e-02	2.31272032e-03
81              	6.44001013e+00	3.22452301e+00	3.21548712e+00	1.97751297e+00	-5.65324844e-01	2.54283781e+00	-1.55408133e+00	4.51794794e-03	-1.09534686e-02	-1.74733684e-02	-1.96901528e-02	2.21678440e-03
82              	5.74986289e+00	2.87577031e+00	2.87409258e+00	1.29675962e+00	-5.29997802e-01	1.82675743e+00	-1.17837761e+00	8.38869319e-04	-6.38213939e-03	-1.12188664e-02	-1.19915726e-02	7.72706193e-04
83              	5.04906282e+00	2.52064256e+00	2.52842026e+00	6.51803171e-01	-4.56208947e-01	1.10801212e+00	-7.82110533e-01	-3.88885051e-03	3.44243188e-04	-3.48941218e-03	-1.40046290e-03	-2.08894928e-03
84              	4.36018754e+00	2.17096667e+00	2.18922087e+00	1.56949729e-01	-3.74855363e-01	5.31805091e-01	-4.53330227e-01	-9.12709855e-03	2.92258677e-03	-1.14716883e-04	2.86522833e-03	-2.97994521e-03
85              	3.72167618e+00	1.84643690e+00	1.87523928e+00	-1.57615014e-01	-3.04045853e-01	1.46430839e-01	-2.25238346e-01	-1.44011942e-02	4.55801709e-03	2.20305237e-03	5.65954327e-03	-3.45649090e-03
86              	3.13207301e+00	1.54739290e+00	1.58468011e+00	-3.65932133e-01	-2.23110452e-01	-1.42821681e-01	-4.01443859e-02	-1.86436013e-02	3.47430802e-03	1.36203505e-03	4.15532555e-03	-2.79329050e-03
87              	2.60338802e+00	1.28042240e+00	1.32296563e+00	-4.87770803e-01	-1.36472096e-01	-3.51298707e-01	1.07413306e-01	-2.12716142e-02	2.04222758e-03	5.73732837e-04	2.32909400e-03	-1.75536117e-03
88              	2.13048899e+00	1.04320906e+00	1.08727993e+00	-5.37702852e-01	-5.45134806e-02	-4.83189372e-01	2.14337946e-01	-2.20354332e-02	-1.76703644e-04	-9.34001707e-04	-6.43704498e-04	-2.90297209e-04
89              	1.71215364e+00	8.35133461e-01	8.77020175e-01	-5.18645135e-01	1.09386953e-02	-5.29583830e-01	2.70261263e-01	-2.09433569e-02	-2.81999691e-03	-2.89505952e-03	-4.26752667e-03	1.37246715e-03
90              	1.34379430e+00	6.53381754e-01	6.90412549e-01	-4.46843865e-01	4.98240656e-02	-4.96667931e-01	2.73245998e-01	-1.85153976e-02	-5.37635458e-03	-4.93033088e-03	-7.84152002e-03	2.91118914e-03
91              	1.02518684e+00	4.97086216e-01	5.28100625e-01	-3.54904145e-01	6.19071699e-02	-4.16811315e-01	2.39359242e-01	-1.55072047e-02	-7.78231286e-03	-6.78388864e-03	-1.11742572e-02	4.39036854e-03
92              	7.49453099e-01	3.62115246e-01	3.87337853e-01	-2.88728547e-01	5.99106884e-02	-3.48639236e-01	2.04274962e-01	-1.26113035e-02	-9.63658384e-03	-7.90096155e-03	-1.35870646e-02	5.68610306e-03
93              	5.09755486e-01	2.44626155e-01	2.65129330e-01	-2.73303633e-01	5.53641148e-02	-3.28667748e-01	1.92015931e-01	-1.02515876e-02	-1.06171294e-02	-8.01128547e-03	-1.46227722e-02	6.61148669e-03
94              	2.95248124e-01	1.39254446e-01	1.55993678e-01	-3.00562288e-01	5.09300054e-02	-3.51492293e-01	2.01211149e-01	-8.36961603e-03	-1.11516670e-02	-7.82363239e-03	-1.50634832e-02	7.23985078e-03
95              	9.22665815e-02	3.92351811e-02	5.30314004e-02	-3.54327095e-01	4.83609382e-02	-4.02688033e-01	2.25524486e-01	-6.89810960e-03	-1.11193422e-02	-7.20697705e-03	-1.47228308e-02	7.51585372e-03
96              	-1.11247014e-01	-6.14041971e-02	-4.98428169e-02	-4.14398195e-01	4.98797980e-02	-4.64277993e-01	2.57078895e-01	-5.78069011e-03	-1.09682022e-02	-6.69375237e-03	-1.43150784e-02	7.62132600e-03
97              	-3.19646116e-01	-1.64775256e-01	-1.54870860e-01	-4.70093845e-01	5.54664719e-02	-5.25560317e-01	2.90513395e-01	-4.95219757e-03	-1.05241067e-02	-5.97199108e-03	-1.35101022e-02	7.53811111e-03
98              	-5.30032936e-01	-2.69420897e-01	-2.60612039e-01	-5.24667769e-01	6.42303391e-02	-5.88898108e-01	3.26564224e-01	-4.40442901e-03	-9.89085606e-03	-5.21040234e-03	-1.24960572e-02	7.28565489e-03
