# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
59              	4.74831816e-03	2.37385937e-03	2.37445879e-03	-8.90226882e-03	-2.03425453e-03	-6.86801430e-03	2.41687989e-03	-2.99709316e-07	8.40687424e-09	1.09945902e-09	8.95660375e-09	-7.85714473e-09
60              	4.74825502e-03	2.37385691e-03	2.37439811e-03	-8.93348284e-03	-2.04355249e-03	-6.88993035e-03	2.42318893e-03	-2.70603156e-07	5.39005117e-09	1.08904098e-09	5.93457166e-09	-4.84553068e-09
61              	4.74834403e-03	2.37393551e-03	2.37440853e-03	-8.96203496e-03	-2.05230512e-03	-6.90972983e-03	2.42871235e-03	-2.36508379e-07	2.37550827e-09	1.07964025e-09	2.91532839e-09	-1.83568814e-09
62              	4.74850675e-03	2.37405355e-03	2.37445321e-03	-8.98855026e-03	-2.06063138e-03	-6.92791888e-03	2.43364375e-03	-1.99828932e-07	-3.92611822e-10	1.07117976e-09	1.42978056e-10	9.28201701e-10
63              	4.74869496e-03	2.37418464e-03	2.37451032e-03	-9.01453002e-03	-2.06887099e-03	-6.94565902e-03	2.43839402e-03	-1.62839422e-07	-2.78860421e-09	1.06370351e-09	-2.25675246e-09	3.32045597e-09
64              	4.74888778e-03	2.37431642e-03	2.37457136e-03	-9.04135868e-03	-2.07735748e-03	-6.96400119e-03	2.44332185e-03	-1.27468042e-07	-4.75361241e-09	1.05676421e-09	-4.22523031e-09	5.28199451e-09
65              	4.74907686e-03	2.37444308e-03	2.37463377e-03	-9.07006972e-03	-2.08636664e-03	-6.98370308e-03	2.44866822e-03	-9.53439192e-08	-6.26141432e-09	1.05035261e-09	-5.73623801e-09	6.78659063e-09
66              	4.74925552e-03	2.37455994e-03	2.37469558e-03	-9.10104553e-03	-2.09604331e-03	-7.00500222e-03	2.45447946e-03	-6.78181346e-08	-7.30127747e-09	1.04535303e-09	-6.77860095e-09	7.82395399e-09
67              	4.74941720e-03	2.37466288e-03	2.37475432e-03	-9.13274030e-03	-2.10609255e-03	-7.02664775e-03	2.46027760e-03	-4.57176188e-08	-7.86731663e-09	1.04094500e-09	-7.34684413e-09	8.38778913e-09
68              	4.74957520e-03	2.37475852e-03	2.37481668e-03	-9.16268002e-03	-2.11597145e-03	-7.04670857e-03	2.46536856e-03	-2.90770205e-08	-7.97686460e-09	1.03713101e-09	-7.45829910e-09	8.49543010e-09
